Country;Name;Totalfollowers;followerspain;authenticengament;Account2;Links;Category;Subcategory;Subcategory 2;Subcategory 3;Country.1;Marcas1;Marcas2;Marcas3;Marcas4;Marcas5;Marcas6;Marcas7;Marcas8;Marcas9;Marcas10;Tik Tok;Youtube;Twitter;%offemales
United States;Kendall Jenner;223400000;12900000;3100000;kendalljenner;https://www.instagram.com/kendalljenner/?hl=es;Fashion;Lifestyle;Clothing & Outfits;Unknown;italy;@moon,;@calvinklein,;@voguemagazine,;@haileybieber,;@zazaworld,;@danielcaesar,;@dominicfike,;@bakarrrr,;@matthewmwilliams,;@inezandvinoodh;2300000;No;31900000;50.3 %
United States;Kim Kardashian ;291700000;13400000;2100000;kimkardashian;https://www.instagram.com/kimkardashian/?hl=es;Fashion;Beauty;Actors/actresses;Unknown;italy;@chrisappleton1,;@letthelordbewithyou,;@khloekardashian,;@marcmhoward,;@oxygen,;@kkwfragrance,;@skims,;@krisjenner,;@rickowensonline,;@tracyromulus;No;1880000;71600000;53.4 %
United States;Beyoncé ;242600000;11800000;2600000;beyonce;https://www.instagram.com/beyonce/?hl=es;Fashion;Music;Unknown;Unknown;italy;@billybiohazard,;@monacosalons,;@jerryroperoofficial,;@uplydance_,;@greatist,;@victoriamonet,;@itsamanuworld,;@isabelleboireau_beauty,;@chloexhalle,;@mstinalawson;NO;24200000;15400000;51.7 %
Spain;Georgina Rodriguez ;36200000;3100000;2300000;georginagio;https://www.instagram.com/georginagio/?hl=es;Fashion;Lifestyle;Clothing & Outfits;Unknown;italy;@cristiano,;@dolcegabbana,;@pasqualebruni,;@ermannoscervino,;@bellacanvas,;@less_app,;@suspiciousantwerp,;@louisvuitton,;@nicolasgerardin,;@stephanebodin;NO;NO;NO;50.9 %
Turkey;Barbara Palvin ;17400000;915900;540800;realbarbarapalvin;https://www.instagram.com/realbarbarapalvin/?hl=es;Fashion;Modeling;Unknown;Unknown;italy;@victoriassecret,;@armanibeauty,;@owengould,;@suspiciousantwerp,;@thelovemagazine,;@colesprouse,;@chillrv,;@mariansellphoto,;@susan_haddon,;@numero_netherlands;NO;NO;1200000;47.1 %
United States; Dior Official ;39800000;2400000;66300;dior;https://www.instagram.com/dior/?hl=es;Fashion;Unknown;Unknown;Unknown;italy;@peterphilipsmakeup,;@diorbeauty,;@cordeliadecastellane,;@mrkimjones,;@bleumanet,;@chiaraferragni,;@natasupernova,;@adriendirand,;@lukehayes_uk,;@sebastien_bertaud;1600000;1340000;8700000;68.8 %
Brazil; Avril Lavigne ;10600000;538800;252200;avrillavigne;https://www.instagram.com/avrillavigne/?hl=es;Fashion;Music;Cinema & actors/actresses;Unknown;italy;@justinbieber,;@globallymealliance,;@convicts,;@campaignzero,;@billboard,;@yakooza,;@kendrick38,;@naacp_ldf,;@caaamplify,;@bldpwr;Unknown;11600000;20600000;48.0 %
Unknown; Gucci Official ;47700000;2100000;50400;gucci;https://www.instagram.com/gucci/?hl=es;Fashion;Accessories & Jewellery;Clothing & Outfits;Unknown;italy;@yorgoslanthimos.,;@idea.ltd,;@nlyonne,;@britishgq,;@britishvogue,;@jobpiston,;@ch_herrero,;@nlyonne.,;@alessandro_michele,;@britishgq.;1800000;781000;6700000;46.0 %
United States; Vogue ;37300000;1600000;47100;voguemagazine;https://www.instagram.com/voguemagazine/?hl=es;Fashion;Literature & Journalism;Unknown;Unknown;italy;@metcostumeinstitute,;@coreytenold,;@arthurelgort,;@cfda,;@versace,;@dior,;@mehdilacoste_,;@ladygaga,;@badgalriri,;@tonnegood;14700000;11400000;14700000;63.7 %
United States; Versace ;26400000;1700000;44300;versace;https://www.instagram.com/versace/?hl=es;Fashion;Accessories & Jewellery;Clothing & Outfits;Luxury;italy;@kendalljenner,;@dualipa,;@bellahadid,;@ferdinandoverderi,;@irinashayk,;@stellamaxwell,;@gigihadid,;@donatella_versace,;@kjeldgaard1,;@piergiorgio;Unknown;Unknown;5100000;47.3 %
United States; CHANEL ;49400000;2800000;27700;chanelofficial;https://www.instagram.com/chanelofficial/?hl=es;Fashion;Accessories & Jewellery;Clothing & Outfits;Beauty;italy;@lilyrose_depp,;@vittoria,;@walldamort,;@soojmooj,;@chanel.beauty,;@goossens_paris,;@carolinedemaigret,;@ola_quetal,;@iamhyunjishin,;@amandasanchez;Unknown;2000000;13400000;68.4 %
United States; Adriana Lima ;14100000;654300;78700;adrianalima;https://www.instagram.com/adrianalima/?hl=es;Fashion;Modeling;Unknown;Unknown;italy;@voguearabia,;@mrarnaut,;@natgeo,;@zahi_hawass,;@nadineabdelghaffar,;@omarabdelg,;@karlaathayde,;@priverevaux,;@modadacom,;@damianolucidi;Unknown;Unknown;Unknown;45.0 %
